Object;PlotID;Longitude;Latitude;Mean_reaction;FSB;Number_of_sp
vegetacni_snimek;289862;16.674722;49.3075;6.178571;L;30
vegetacni_snimek;289854;16.696389;49.3075;6.409091;L;44
vegetacni_snimek;324500;16.685833;49.307778;6.419355;L;37
vegetacni_snimek;386867;16.661722;49.307917;6.1;L;38
vegetacni_snimek;316241;16.694694;49.308278;6.666667;L;33
vegetacni_snimek;326679;16.675;49.308333;4.2;L;19
vegetacni_snimek;316242;16.692333;49.308472;6.636364;L;28
vegetacni_snimek;326201;16.677778;49.309722;6.733333;L;37
vegetacni_snimek;289861;16.690556;49.31;6.96;L;27
vegetacni_snimek;386896;16.732583;49.310306;6.1;L;22
vegetacni_snimek;289860;16.685833;49.310556;6.368421;L;38
vegetacni_snimek;386869;16.702972;49.312444;6.028571;L;42
vegetacni_snimek;289866;16.694167;49.315;6.26087;L;47
vegetacni_snimek;289871;16.694722;49.315;6.413793;L;29
vegetacni_snimek;289882;16.691111;49.315278;6.490196;L;56
vegetacni_snimek;289865;16.692222;49.315278;6.382353;L;36
vegetacni_snimek;289883;16.694444;49.315556;6.27907;L;43
vegetacni_snimek;289867;16.695;49.315556;6.404255;L;47
vegetacni_snimek;289872;16.695556;49.315556;6;L;12
vegetacni_snimek;310371;16.572222;49.337583;4.9375;L;16
vegetacni_snimek;305459;16.706111;49.360611;6.181818;L;24
vegetacni_snimek;325383;16.706417;49.3615;6.219512;L;46
vegetacni_snimek;316266;16.702972;49.362111;6.62069;L;34
vegetacni_snimek;324493;16.701389;49.362222;6.571429;L;49
vegetacni_snimek;387096;16.695833;49.362778;5.516129;L;37
vegetacni_snimek;324491;16.702778;49.363056;6.195122;L;45
vegetacni_snimek;386882;16.707667;49.364028;6.5;L;37
vegetacni_snimek;314523;16.338833;49.462583;6;L;27
vegetacni_snimek;392876;16.697931;49.491028;5.581395;L;48
